Gene name,Gene name2,Gene Synonym 0,Gene Synonym 1,Gene Synonym 2,Gene Synonym 3,Gene Synonym 4,Gene Synonym 5,Gene Synonym 6,Gene Synonym 7,Gene Synonym 8,Gene Synonym 9,Gene Synonym 10,Gene Synonym 11,Gene Synonym 12,Gene Synonym 13,Gene Synonym 14,Gene Synonym 15,Gene Synonym 16,Gene Synonym 17,Gene Synonym 18,Gene Synonym 19,Gene Synonym 20,Gene Synonym 21,Gene Synonym 22,Gene Synonym 23,Gene Synonym 24,Gene Synonym 25,Gene Synonym 26,Gene Synonym 27,Gene Synonym 28,Gene Synonym 29,Gene Synonym 30,Gene Synonym 31
WTIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWC1,,PPP1R168,KIBRA,KIAA0869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWC2,,FLJ22029,BOMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWC2-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWC2-AS2,,FLJ30277,C4orf38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWC3,,KIAA1280,BM042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWC3-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWOX,,WOX1,SDR41C1,FOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWOX-AS1,,RP11-190D6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWP1,,DKFZP434D2111,AIP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWP1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWP1P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWP2,,AIP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWTR1,,TAZ,DKFZp586I1419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWTR1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWTR1-IT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAB2,,SYF1,NTC90,HCRN,HCNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAF1,,XIAPAF1,HSXIAPAF1,BIRC4BP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAGE1A,,XAGE1,XAGE-1,GAGED2,CT12.1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAGE1B,,XAGE1E,XAGE1D,XAGE1C,CT12.1d,CT12.1c,CT12.1b,,,,,,,,,,,,,,,,,,,,,,,,,,
XAGE2,,XAGE2B,XAGE-2,GAGED3,CT12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XAGE3,,XAGE-3,pp9012,PLAC6,GAGED4,CT12.3b,CT12.3a,,,,,,,,,,,,,,,,,,,,,,,,,,
XAGE5,,XAGE-5,GAGED5,CT12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XBP1,,XBP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XBP1P1,,XBPP1,XBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XCL1,,SCYC1,SCM-1a,SCM-1,LTN,LPTN,ATAC,,,,,,,,,,,,,,,,,,,,,,,,,,
XCL2,,SCYC2,SCM-1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XCR1,,GPR5,CCXCR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XDH,,XOR,XO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XG,,PBDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGY1,,XGPY1,XGPY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGY2,,XGPY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIAP,,ILP-1,hILP,BIRC4,API3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIAP-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIAPP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIAPP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIAPP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIRP1,,Xin,DKFZp451D042,CMYA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIRP2,,CMYA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIRP2-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIST,,swd66,NCRNA00001,LINC00001,DXS399E,DXS1089,,,,,,,,,,,,,,,,,,,,,,,,,,,
XK,,XKR1,X1k,NAC,,Kx,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKR3,,XTES,MGC57211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKR4,,KIAA1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKR4-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKR6,,C8orf7,C8orf5,C8orf21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKR7,,dJ310O13.4,C20orf159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKR8,,FLJ10307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKR9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKRX,,XPLAC,XKR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKRY,,XKRY1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKRY2,,XKRYP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKRYP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKRYP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKRYP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKRYP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKRYP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKRYP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XNDC1CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XNDC1N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XNDC1N-ZNF705EP-ALG1L9P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPA,,XPAC,XP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPC,,XPCC,RAD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPC-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPNPEP1,,XPNPEPL1,XPNPEPL,XPNPEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPNPEP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPNPEP3,,NPHPL1,ICP55,APP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPO1,,emb,CRM1,CRM-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPO4,,KIAA1721,FLJ13046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPO5,,KIAA1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPO6,,RANBP20,KIAA0370,FLJ22519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPO7,,RANBP16,KIAA0745,EXP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPOT,,XPO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPOTP1,,XPO3P1,dJ785G19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPR1,,X3,SYG1,SLC53A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRCC1,,RCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRCC2,,FANCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRCC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRCC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRCC5,,KUB2,Ku86,KU80,KARP-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRCC6,,ML8,KU70,G22P1,D22S731,D22S671,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRCC6P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRCC6P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRCC6P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRCC6P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRCC6P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRN1,,01/09/2001 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRRA1,,FLJ00225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXYLT1,,FLJ35155,C3orf21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXYLT1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXYLT1-AS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XYLB,,FLJ12539,FLJ10343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XYLT1,,XT-I,PXYLT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XYLT2,,XT-II,PXYLT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAE1,,YAE1D1,GK003,CIAB2,C7orf36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAE1-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAP1,,YAP65,YAP-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAP1P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAP1P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAP1P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARS1,,YTS,YRS,YARS,tyrRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARS2,,mt-TyrRS,FLJ13995,CGI-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBEY,,C21orf57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX1,,YB1,YB-1,NSEP1,NSEP-1,MDR-NF1,DBPB,CSDB,CSDA2,BP-8,,,,,,,,,,,,,,,,,,,,,,,
YBX1P1,,PSDBPB1,NSEP1P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX1P10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX1P2,,TCAG_1818537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX1P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX1P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX1P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX1P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX1P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX1P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX1P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX2,,MSY2,CSDA3,Contrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX2P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX2P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX3,,ZONAB,dbpA,CSDA1,CSDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX3P1,,CSDAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDJC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEATS2,,KIAA1197,FLJ13308,FLJ12841,FLJ10201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEATS2-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEATS4,,YAF9,NuBI-1,GAS41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YES1,,Yes,HsT441,c-yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YES1P1,,YESP,YES2,SYR,D22S670,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YIF1A,,YIF1P,YIF1,FinGER7,54TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YIF1B,,FinGER8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YIPF1,,FinGER1,DJ167A19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YIPF2,,MGC3262,FinGER2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YIPF3,,KLIP1,FinGER3,DKFZp566C243,dJ337H4.3,C6orf109,,,,,,,,,,,,,,,,,,,,,,,,,,,
YIPF4,,MGC11061,FinGER4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YIPF5,,SMAP-5,FinGER5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YIPF6,,MGC21416,FinGER6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YIPF7,,FLJ39576,FinGER9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YJEFN3,,hYjeF_N3-19p13.11,FLJ44968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YJU2,,FLJ10374,CCDC94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YJU2B,,MGC10471,CCDC130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLPM1,,ZAP,PPP1R169,C14orf170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YME1L1,,YME1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YME1L1P1,,YME1L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOD1,,OTUD2,DUBA8,DKFZp451J1719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPEL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPEL2,,FKSG4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPEL3,,MGC10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPEL3-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPEL4,,FLJ30213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPEL5,,CGI-127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPEL5P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPEL5P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPEL5P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YRDC,,SUA5,IRIP,FLJ23476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YRDCP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YRDCP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YRDCP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTHDC1,,YT521-B,YT521,KIAA1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTHDC2,,FLJ2194,FLJ10053,DKFZp564A186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTHDF1,,FLJ20391,C20orf21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTHDF1P1,,YTHDF1P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTHDF2,,NY-REN-2,HGRG8,CAHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTHDF2P1,,YTHDF2P,NY-REN-2,HGRG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTHDF3,,FLJ31657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTHDF3-DT,,YTHDF3-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAB,,YWHAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHABP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHABP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAE,,FLJ45465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAEP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAEP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAEP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAEP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAEP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAEP7,,,LOC284100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAG,,PPP1R170,14-3-3GAMMA,14-3-3├â┼╜├é┬│,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAH,,YWHA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAH-AS1,,HSN44A4A,C22orf24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAQ,,HS1,14/03/2003 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAQP1,,YWHAQP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAQP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAQP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAQP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAQP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAQP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAQP9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAZ,,YWHAD,KCIP-1,14-3-3-zeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAZP1,,YWHAZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAZP10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAZP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAZP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAZP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAZP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAZP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAZP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAZP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YY1,,YIN-YANG-1,UCRBP,NF-E1,INO80S,DELTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
YY1AP1,,YY1AP,YAP,HCCA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YY1P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YY1P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YY2,,ZNF631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZACN,,ZAC1,ZAC,LGICZ1,LGICZ,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZACNP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAP70,,ZAP-70,STD,SRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAR1,,Z3CXXC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAR1L,,Z3CXXC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBBX,,FLJ23049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBED1,,TRAMP,KIAA0785,hDREF,DREF,ALTE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBED10P,,ZBED6CL,C7orf29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBED1P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBED2,,MGC10796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBED3,,MGC15435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBED3-AS1,,lnc13728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBED4,,KIAA0637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBED5,,Buster1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBED5-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBED6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBED8,,C5orf54,Buster3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBED9,,ZNF452,ZNF305P2,ZFP38-L,SCAND3,KIAA1925,FLJ31087,Buster4,,,,,,,,,,,,,,,,,,,,,,,,,
ZBED9-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBED9P1,,SCAND3P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBP1,,DLM1,DLM-1,dJ718J7.3,DAI,C20orf183,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB1,,ZNF909,KIAA0997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB10,,RINZF,FLJ12752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB11,,ZNF913,ZNF-U69274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB11-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB12,,NG35,G10,D6S59E,C6orf46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB12BP,,ZNF920,ZBTB12P1,ZBTB12B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB14,,ZNF478,ZFP161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB16,,ZNF145,PLZF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB17,,ZNF60,ZNF151,pHZ-67,MIZ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB18,,ZNF238,TAZ-1,RP58,C2H2-171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB2,,ZNF437,KIAA1483,bA351K16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB20,,ZNF288,ODA-8S,DPZF,DKFZp566F123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB20-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB20-AS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB20-AS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB20-AS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB20-AS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB21,,ZNF295,KIAA1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB22,,ZNF297A,ZNF297,ZBTB22A,fruitless,fru,BING1,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB24,,ZNF450,PATZ2,KIAA0441,BIF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB24-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB25,,ZNF46,KUP,C14orf51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB26,,ZNF481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB2P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB3,,FLJ23392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB32,,ZNF538,TZFP,Rog,FAZF,FAXF,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB33,,ZNF348,ZNF-kaiso,WUGSC:H_DJ525N14.1,kaiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB34,,ZNF918,MGC24652,KIAA1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB37,,ZNF908,MGC2629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB38,,ZNF921,PPP1R171,FLJ35036,CIBZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB39,,ZNF922,KIAA0352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB4,,ZNF903,KIAA1538,KAISO-L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB40,,ZNF923,KIAA0478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB40-IT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB41,,ZNF924,FRBZ1,FLJ36199,DKFZp686C06120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB42,,ZNF925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB43,,ZNF297B,ZNF-X,ZBTB22B,KIAA0414,FLJ22470,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB44,,ZNF851,HSPC063,BTBD15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB44-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB45,,ZNF499,FLJ14486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB45P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB45P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB46,,ZNF340,RINZF,FLJ13502,BZEL,BTBD4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB46-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB46-AS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB47,,ZNF651,KIAA1190,DKFZp434N0615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB47-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB48,,ZNF855,TZAP,HKR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB49,,ZNF509,FLJ38559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB5,,KIAA0354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB6,,ZNF482,ZID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB7A,,ZNF857A,ZBTB7,pokemon,LRF,FBI-1,DKFZp547O146,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB7B,,ZNF857B,ZFP67,ZBTB15,hcKrox,c-Krox,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB7C,,ZNF857C,ZBTB36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB7C-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB7C-AS2,,HsT2508,HEIL1,C18orf12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB8A,,ZNF916A,ZBTB8,FLJ90065,BOZF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
